,Rank,Empire,Maximum Colonial Area
0,1,British Empire,35.5
1,2,Mongol Empire,24
2,3,Russian Empire,22.8
3,4,Qing dynasty,14.7
4,5,Spanish Empire,13.7
5,6,Second French colonial empire,11.5
6,7,Abbasid Caliphate,11.1
7,8,Umayyad Caliphate,11.1
8,9,Yuan dynasty,11
9,10,Xiongnu Empire,9
10,11,Empire of Brazil,8.337
11,12,Empire of Japan,7.4â€“8.51
12,13,Iberian Union,7.1
13,14,Eastern Han dynasty,6.5
14,15,Ming dynasty,6.5
15,16,Rashidun Caliphate,6.4
16,17,First Turkic Khaganate,6
17,18,Golden Horde Khanate,6
18,19,Western Han dynasty,6
19,20,Achaemenid Empire,5.5
20,21,Second Portuguese Empire,5.5
21,22,Tang dynasty,5.4
22,23,Macedonian Empire,5.2
23,24,Ottoman Empire,5.2
24,25,Northern Yuan dynasty,5
