Time,Time Code,Country,Country Code,GDPGrowth
1960,YR1960,Canada,CAN,..
1961,YR1961,Canada,CAN,3.163291684
1962,YR1962,Canada,CAN,7.425384774
1963,YR1963,Canada,CAN,5.349546457
1964,YR1964,Canada,CAN,6.642894415
1965,YR1965,Canada,CAN,6.316714176
1966,YR1966,Canada,CAN,6.704991764
1967,YR1967,Canada,CAN,3.091205962
1968,YR1968,Canada,CAN,4.995666605
1969,YR1969,Canada,CAN,5.045456367
1970,YR1970,Canada,CAN,..
1971,YR1971,Canada,CAN,..
1972,YR1972,Canada,CAN,..
1973,YR1973,Canada,CAN,..
1974,YR1974,Canada,CAN,..
1975,YR1975,Canada,CAN,..
1976,YR1976,Canada,CAN,..
1977,YR1977,Canada,CAN,..
1978,YR1978,Canada,CAN,..
1979,YR1979,Canada,CAN,..
1980,YR1980,Canada,CAN,..
1981,YR1981,Canada,CAN,..
1982,YR1982,Canada,CAN,..
1983,YR1983,Canada,CAN,..
1984,YR1984,Canada,CAN,..
1985,YR1985,Canada,CAN,..
1986,YR1986,Canada,CAN,..
1987,YR1987,Canada,CAN,..
1988,YR1988,Canada,CAN,..
1989,YR1989,Canada,CAN,..
1990,YR1990,Canada,CAN,..
1991,YR1991,Canada,CAN,..
1992,YR1992,Canada,CAN,..
1993,YR1993,Canada,CAN,..
1994,YR1994,Canada,CAN,..
1995,YR1995,Canada,CAN,..
1996,YR1996,Canada,CAN,..
1997,YR1997,Canada,CAN,..
1998,YR1998,Canada,CAN,2.79654248
1999,YR1999,Canada,CAN,3.970482637
2000,YR2000,Canada,CAN,4.917762744
2001,YR2001,Canada,CAN,1.405527589
2002,YR2002,Canada,CAN,3.422146171
2003,YR2003,Canada,CAN,3.811090153
2004,YR2004,Canada,CAN,3.914028782
2005,YR2005,Canada,CAN,4.995860869
2006,YR2006,Canada,CAN,4.165817627
2007,YR2007,Canada,CAN,6.868608857
2008,YR2008,Canada,CAN,1.007622695
2009,YR2009,Canada,CAN,-2.928400167
2010,YR2010,Canada,CAN,3.08949462
2011,YR2011,Canada,CAN,3.146881372
2012,YR2012,Canada,CAN,1.762222549
2013,YR2013,Canada,CAN,2.329122506
2014,YR2014,Canada,CAN,2.870036075
2015,YR2015,Canada,CAN,0.659176864
2016,YR2016,Canada,CAN,1.001394414
2017,YR2017,Canada,CAN,3.039880225
2018,YR2018,Canada,CAN,2.429547545
2019,YR2019,Canada,CAN,1.861415379
2020,YR2020,Canada,CAN,-5.312944743
1960,YR1960,France,FRA,..
1961,YR1961,France,FRA,4.980111849
1962,YR1962,France,FRA,6.843469985
1963,YR1963,France,FRA,6.233679952
1964,YR1964,France,FRA,6.652099508
1965,YR1965,France,FRA,4.861507696
1966,YR1966,France,FRA,5.251837046
1967,YR1967,France,FRA,4.921148915
1968,YR1968,France,FRA,4.491308886
1969,YR1969,France,FRA,7.109475345
1970,YR1970,France,FRA,6.108679813
1971,YR1971,France,FRA,5.316715897
1972,YR1972,France,FRA,4.511374019
1973,YR1973,France,FRA,6.344580675
1974,YR1974,France,FRA,4.300919143
1975,YR1975,France,FRA,-0.959884746
1976,YR1976,France,FRA,4.356758903
1977,YR1977,France,FRA,3.464312004
1978,YR1978,France,FRA,3.978543722
1979,YR1979,France,FRA,3.549989157
1980,YR1980,France,FRA,1.57874526
1981,YR1981,France,FRA,1.069019839
1982,YR1982,France,FRA,2.505396616
1983,YR1983,France,FRA,1.240864862
1984,YR1984,France,FRA,1.513721603
1985,YR1985,France,FRA,1.622781367
1986,YR1986,France,FRA,2.33727635
1987,YR1987,France,FRA,2.561900335
1988,YR1988,France,FRA,4.743142194
1989,YR1989,France,FRA,4.343861063
1990,YR1990,France,FRA,2.923935081
1991,YR1991,France,FRA,1.048175847
1992,YR1992,France,FRA,1.599342677
1993,YR1993,France,FRA,-0.628666352
1994,YR1994,France,FRA,2.358342181
1995,YR1995,France,FRA,2.106695253
1996,YR1996,France,FRA,1.412993673
1997,YR1997,France,FRA,2.336296529
1998,YR1998,France,FRA,3.588659425
1999,YR1999,France,FRA,3.421373799
2000,YR2000,France,FRA,3.923669227
2001,YR2001,France,FRA,1.983721419
2002,YR2002,France,FRA,1.135531482
2003,YR2003,France,FRA,0.823160757
2004,YR2004,France,FRA,2.829752929
2005,YR2005,France,FRA,1.66321998
2006,YR2006,France,FRA,2.449323601
2007,YR2007,France,FRA,2.424736243
2008,YR2008,France,FRA,0.25494596
2009,YR2009,France,FRA,-2.873313828
2010,YR2010,France,FRA,1.949437623
2011,YR2011,France,FRA,2.192700633
2012,YR2012,France,FRA,0.313134751
2013,YR2013,France,FRA,0.576326675
2014,YR2014,France,FRA,0.956183052
2015,YR2015,France,FRA,1.112912341
2016,YR2016,France,FRA,1.095464404
2017,YR2017,France,FRA,2.291419994
2018,YR2018,France,FRA,1.865066071
2019,YR2019,France,FRA,1.842971814
2020,YR2020,France,FRA,-7.855256037
1960,YR1960,Germany,DEU,..
1961,YR1961,Germany,DEU,..
1962,YR1962,Germany,DEU,..
1963,YR1963,Germany,DEU,..
1964,YR1964,Germany,DEU,..
1965,YR1965,Germany,DEU,..
1966,YR1966,Germany,DEU,..
1967,YR1967,Germany,DEU,..
1968,YR1968,Germany,DEU,..
1969,YR1969,Germany,DEU,..
1970,YR1970,Germany,DEU,..
1971,YR1971,Germany,DEU,3.132699738
1972,YR1972,Germany,DEU,4.300341334
1973,YR1973,Germany,DEU,4.777486892
1974,YR1974,Germany,DEU,0.890068741
1975,YR1975,Germany,DEU,-0.866738894
1976,YR1976,Germany,DEU,4.949258377
1977,YR1977,Germany,DEU,3.34721812
1978,YR1978,Germany,DEU,3.008492857
1979,YR1979,Germany,DEU,4.150363341
1980,YR1980,Germany,DEU,1.408828636
1981,YR1981,Germany,DEU,0.529240557
1982,YR1982,Germany,DEU,-0.394840775
1983,YR1983,Germany,DEU,1.57241017
1984,YR1984,Germany,DEU,2.82294781
1985,YR1985,Germany,DEU,2.327935262
1986,YR1986,Germany,DEU,2.287339221
1987,YR1987,Germany,DEU,1.402151627
1988,YR1988,Germany,DEU,3.707235659
1989,YR1989,Germany,DEU,3.896551692
1990,YR1990,Germany,DEU,5.255006083
1991,YR1991,Germany,DEU,5.108261522
1992,YR1992,Germany,DEU,1.923076559
1993,YR1993,Germany,DEU,-0.976849818
1994,YR1994,Germany,DEU,2.391892071
1995,YR1995,Germany,DEU,1.544146496
1996,YR1996,Germany,DEU,0.805822891
1997,YR1997,Germany,DEU,1.792160821
1998,YR1998,Germany,DEU,2.013932785
1999,YR1999,Germany,DEU,1.887261154
2000,YR2000,Germany,DEU,2.912502964
2001,YR2001,Germany,DEU,1.681468481
2002,YR2002,Germany,DEU,-0.197973835
2003,YR2003,Germany,DEU,-0.700116686
2004,YR2004,Germany,DEU,1.175088132
2005,YR2005,Germany,DEU,0.731707164
2006,YR2006,Germany,DEU,3.816441913
2007,YR2007,Germany,DEU,2.976455131
2008,YR2008,Germany,DEU,0.959879134
2009,YR2009,Germany,DEU,-5.693836336
2010,YR2010,Germany,DEU,4.179882499
2011,YR2011,Germany,DEU,3.925192705
2012,YR2012,Germany,DEU,0.418497594
2013,YR2013,Germany,DEU,0.437591303
2014,YR2014,Germany,DEU,2.209543431
2015,YR2015,Germany,DEU,1.491931528
2016,YR2016,Germany,DEU,2.229999868
2017,YR2017,Germany,DEU,2.680231114
2018,YR2018,Germany,DEU,1.086024514
2019,YR2019,Germany,DEU,1.055508247
2020,YR2020,Germany,DEU,-4.569616717
1960,YR1960,Italy,ITA,..
1961,YR1961,Italy,ITA,8.207245914
1962,YR1962,Italy,ITA,6.203650458
1963,YR1963,Italy,ITA,5.609727978
1964,YR1964,Italy,ITA,2.797702279
1965,YR1965,Italy,ITA,3.26802372
1966,YR1966,Italy,ITA,5.984794225
1967,YR1967,Italy,ITA,7.178612466
1968,YR1968,Italy,ITA,6.544554655
1969,YR1969,Italy,ITA,6.098059996
1970,YR1970,Italy,ITA,5.268692979
1971,YR1971,Italy,ITA,1.818107934
1972,YR1972,Italy,ITA,3.690485825
1973,YR1973,Italy,ITA,7.125862304
1974,YR1974,Italy,ITA,5.500141101
1975,YR1975,Italy,ITA,-2.090162915
1976,YR1976,Italy,ITA,7.125385137
1977,YR1977,Italy,ITA,2.560500845
1978,YR1978,Italy,ITA,3.240139752
1979,YR1979,Italy,ITA,5.959159426
1980,YR1980,Italy,ITA,3.430016414
1981,YR1981,Italy,ITA,0.844227607
1982,YR1982,Italy,ITA,0.413585695
1983,YR1983,Italy,ITA,1.169203495
1984,YR1984,Italy,ITA,3.225852315
1985,YR1985,Italy,ITA,2.798085767
1986,YR1986,Italy,ITA,2.859971864
1987,YR1987,Italy,ITA,3.191960628
1988,YR1988,Italy,ITA,4.194377308
1989,YR1989,Italy,ITA,3.388383454
1990,YR1990,Italy,ITA,1.985774943
1991,YR1991,Italy,ITA,1.538447558
1992,YR1992,Italy,ITA,0.834275454
1993,YR1993,Italy,ITA,-0.852805764
1994,YR1994,Italy,ITA,2.151023638
1995,YR1995,Italy,ITA,2.886836759
1996,YR1996,Italy,ITA,1.266784802
1997,YR1997,Italy,ITA,1.830212234
1998,YR1998,Italy,ITA,1.810615162
1999,YR1999,Italy,ITA,1.625727599
2000,YR2000,Italy,ITA,3.786955143
2001,YR2001,Italy,ITA,1.951371556
2002,YR2002,Italy,ITA,0.253942999
2003,YR2003,Italy,ITA,0.138626891
2004,YR2004,Italy,ITA,1.423594158
2005,YR2005,Italy,ITA,0.817848974
2006,YR2006,Italy,ITA,1.790639681
2007,YR2007,Italy,ITA,1.48707298
2008,YR2008,Italy,ITA,-0.962012841
2009,YR2009,Italy,ITA,-5.280937208
2010,YR2010,Italy,ITA,1.713295839
2011,YR2011,Italy,ITA,0.707333347
2012,YR2012,Italy,ITA,-2.980905768
2013,YR2013,Italy,ITA,-1.841065451
2014,YR2014,Italy,ITA,-0.004547542
2015,YR2015,Italy,ITA,0.778304351
2016,YR2016,Italy,ITA,1.293462732
2017,YR2017,Italy,ITA,1.667859041
2018,YR2018,Italy,ITA,0.941737193
2019,YR2019,Italy,ITA,0.287449937
2020,YR2020,Italy,ITA,-8.871146348
1960,YR1960,Japan,JPN,..
1961,YR1961,Japan,JPN,12.04353641
1962,YR1962,Japan,JPN,8.908972996
1963,YR1963,Japan,JPN,8.473642383
1964,YR1964,Japan,JPN,11.6767082
1965,YR1965,Japan,JPN,5.819707873
1966,YR1966,Japan,JPN,10.63856156
1967,YR1967,Japan,JPN,11.08214232
1968,YR1968,Japan,JPN,12.88246814
1969,YR1969,Japan,JPN,12.47789451
1970,YR1970,Japan,JPN,2.512953307
1971,YR1971,Japan,JPN,4.698992042
1972,YR1972,Japan,JPN,8.413547255
1973,YR1973,Japan,JPN,8.032599975
1974,YR1974,Japan,JPN,-1.225239827
1975,YR1975,Japan,JPN,3.091575916
1976,YR1976,Japan,JPN,3.974984091
1977,YR1977,Japan,JPN,4.39033795
1978,YR1978,Japan,JPN,5.271941503
1979,YR1979,Japan,JPN,5.484041833
1980,YR1980,Japan,JPN,2.817591208
1981,YR1981,Japan,JPN,4.209336465
1982,YR1982,Japan,JPN,3.312456737
1983,YR1983,Japan,JPN,3.523044985
1984,YR1984,Japan,JPN,4.501994816
1985,YR1985,Japan,JPN,5.233380947
1986,YR1986,Japan,JPN,3.326525616
1987,YR1987,Japan,JPN,4.73066586
1988,YR1988,Japan,JPN,6.785020109
1989,YR1989,Japan,JPN,4.858037686
1990,YR1990,Japan,JPN,4.892713066
1991,YR1991,Japan,JPN,3.417496762
1992,YR1992,Japan,JPN,0.848069581
1993,YR1993,Japan,JPN,-0.517919847
1994,YR1994,Japan,JPN,0.993066363
1995,YR1995,Japan,JPN,2.630999616
1996,YR1996,Japan,JPN,3.133870993
1997,YR1997,Japan,JPN,0.981228732
1998,YR1998,Japan,JPN,-1.270330495
1999,YR1999,Japan,JPN,-0.333929958
2000,YR2000,Japan,JPN,2.764647551
2001,YR2001,Japan,JPN,0.386103426
2002,YR2002,Japan,JPN,0.041962499
2003,YR2003,Japan,JPN,1.535125499
2004,YR2004,Japan,JPN,2.186115694
2005,YR2005,Japan,JPN,1.803900872
2006,YR2006,Japan,JPN,1.372350128
2007,YR2007,Japan,JPN,1.483969412
2008,YR2008,Japan,JPN,-1.224289001
2009,YR2009,Japan,JPN,-5.693236359
2010,YR2010,Japan,JPN,4.097917919
2011,YR2011,Japan,JPN,0.023809524
2012,YR2012,Japan,JPN,1.374750999
2013,YR2013,Japan,JPN,2.005100177
2014,YR2014,Japan,JPN,0.296205514
2015,YR2015,Japan,JPN,1.560626697
2016,YR2016,Japan,JPN,0.753826746
2017,YR2017,Japan,JPN,1.675331752
2018,YR2018,Japan,JPN,0.558851275
2019,YR2019,Japan,JPN,0.270304645
2020,YR2020,Japan,JPN,-5.809905571
1960,YR1960,United Kingdom,GBR,..
1961,YR1961,United Kingdom,GBR,2.677118943
1962,YR1962,United Kingdom,GBR,1.102909649
1963,YR1963,United Kingdom,GBR,4.874383998
1964,YR1964,United Kingdom,GBR,5.533659386
1965,YR1965,United Kingdom,GBR,2.142176544
1966,YR1966,United Kingdom,GBR,1.573100414
1967,YR1967,United Kingdom,GBR,2.786474642
1968,YR1968,United Kingdom,GBR,5.441083438
1969,YR1969,United Kingdom,GBR,1.924096835
1970,YR1970,United Kingdom,GBR,3.38084999
1971,YR1971,United Kingdom,GBR,3.504717313
1972,YR1972,United Kingdom,GBR,4.321667607
1973,YR1973,United Kingdom,GBR,6.523848492
1974,YR1974,United Kingdom,GBR,-2.484404001
1975,YR1975,United Kingdom,GBR,-1.473649493
1976,YR1976,United Kingdom,GBR,2.910266166
1977,YR1977,United Kingdom,GBR,2.457750493
1978,YR1978,United Kingdom,GBR,4.204260468
1979,YR1979,United Kingdom,GBR,3.749016637
1980,YR1980,United Kingdom,GBR,-2.031367786
1981,YR1981,United Kingdom,GBR,-0.787743812
1982,YR1982,United Kingdom,GBR,1.994891182
1983,YR1983,United Kingdom,GBR,4.221856422
1984,YR1984,United Kingdom,GBR,2.269105144
1985,YR1985,United Kingdom,GBR,4.147414952
1986,YR1986,United Kingdom,GBR,3.150340586
1987,YR1987,United Kingdom,GBR,5.392738342
1988,YR1988,United Kingdom,GBR,5.732413648
1989,YR1989,United Kingdom,GBR,2.577602729
1990,YR1990,United Kingdom,GBR,0.733755503
1991,YR1991,United Kingdom,GBR,-1.103121655
1992,YR1992,United Kingdom,GBR,0.401082104
1993,YR1993,United Kingdom,GBR,2.48983093
1994,YR1994,United Kingdom,GBR,3.846009131
1995,YR1995,United Kingdom,GBR,2.531670077
1996,YR1996,United Kingdom,GBR,2.491610855
1997,YR1997,United Kingdom,GBR,4.975295008
1998,YR1998,United Kingdom,GBR,3.707771046
1999,YR1999,United Kingdom,GBR,3.29520162
2000,YR2000,United Kingdom,GBR,3.506217426
2001,YR2001,United Kingdom,GBR,2.730335651
2002,YR2002,United Kingdom,GBR,2.178744368
2003,YR2003,United Kingdom,GBR,3.321881725
2004,YR2004,United Kingdom,GBR,2.286278175
2005,YR2005,United Kingdom,GBR,2.955691743
2006,YR2006,United Kingdom,GBR,2.693800367
2007,YR2007,United Kingdom,GBR,2.360575861
2008,YR2008,United Kingdom,GBR,-0.278780161
2009,YR2009,United Kingdom,GBR,-4.113949331
2010,YR2010,United Kingdom,GBR,2.074050953
2011,YR2011,United Kingdom,GBR,1.275708411
2012,YR2012,United Kingdom,GBR,1.430396029
2013,YR2013,United Kingdom,GBR,2.186113352
2014,YR2014,United Kingdom,GBR,2.862728671
2015,YR2015,United Kingdom,GBR,2.363069511
2016,YR2016,United Kingdom,GBR,1.722385904
2017,YR2017,United Kingdom,GBR,1.740309443
2018,YR2018,United Kingdom,GBR,1.252590613
2019,YR2019,United Kingdom,GBR,1.370814722
2020,YR2020,United Kingdom,GBR,-9.790240362
1960,YR1960,United States,USA,..
1961,YR1961,United States,USA,2.3
1962,YR1962,United States,USA,6.1
1963,YR1963,United States,USA,4.4
1964,YR1964,United States,USA,5.8
1965,YR1965,United States,USA,6.4
1966,YR1966,United States,USA,6.5
1967,YR1967,United States,USA,2.5
1968,YR1968,United States,USA,4.8
1969,YR1969,United States,USA,3.1
1970,YR1970,United States,USA,-0.346648734
1971,YR1971,United States,USA,3.293351653
1972,YR1972,United States,USA,5.258907331
1973,YR1973,United States,USA,5.645722571
1974,YR1974,United States,USA,-0.540551663
1975,YR1975,United States,USA,-0.205456064
1976,YR1976,United States,USA,5.388139293
1977,YR1977,United States,USA,4.624153064
1978,YR1978,United States,USA,5.53530496
1979,YR1979,United States,USA,3.166145311
1980,YR1980,United States,USA,-0.256749677
1981,YR1981,United States,USA,2.537719298
1982,YR1982,United States,USA,-1.802887407
1983,YR1983,United States,USA,4.583913364
1984,YR1984,United States,USA,7.236633158
1985,YR1985,United States,USA,4.169656215
1986,YR1986,United States,USA,3.462645977
1987,YR1987,United States,USA,3.459251985
1988,YR1988,United States,USA,4.177061284
1989,YR1989,United States,USA,3.672648159
1990,YR1990,United States,USA,1.885964958
1991,YR1991,United States,USA,-0.108264787
1992,YR1992,United States,USA,3.522440523
1993,YR1993,United States,USA,2.751781042
1994,YR1994,United States,USA,4.028793263
1995,YR1995,United States,USA,2.684217275
1996,YR1996,United States,USA,3.772565502
1997,YR1997,United States,USA,4.381775174
1998,YR1998,United States,USA,4.481407561
1999,YR1999,United States,USA,4.753235983
2000,YR2000,United States,USA,4.127484017
2001,YR2001,United States,USA,0.998340792
2002,YR2002,United States,USA,1.741695251
2003,YR2003,United States,USA,2.861210768
2004,YR2004,United States,USA,3.798891125
2005,YR2005,United States,USA,3.513213799
2006,YR2006,United States,USA,2.854972294
2007,YR2007,United States,USA,1.876171454
2008,YR2008,United States,USA,-0.136579803
2009,YR2009,United States,USA,-2.536757067
2010,YR2010,United States,USA,2.56376656
2011,YR2011,United States,USA,1.550835505
2012,YR2012,United States,USA,2.249545852
2013,YR2013,United States,USA,1.842081071
2014,YR2014,United States,USA,2.525973446
2015,YR2015,United States,USA,3.07551465
2016,YR2016,United States,USA,1.711426774
2017,YR2017,United States,USA,2.332679395
2018,YR2018,United States,USA,2.996464352
2019,YR2019,United States,USA,2.161176515
2020,YR2020,United States,USA,-3.486140408
,,,,
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2021,,,,
